FID,city_jjk,countrynam,longitude,latitude,mortality
72,BIELEFELD,Germany,8.530296600000000,52.021296499999998,8.333333015439999
73,BORAU,Germany,12.003817558300000,51.200199127200001,33.333332061800000
74,BRAUNSCHWEIG,Germany,10.526769600000000,52.268873599999999,33.333332061800000
75,BREMEN,Germany,8.801693700000000,53.079296200000002,58.500000000000000
76,ERFURT,Germany,11.029879899999999,50.984767900000001,33.333332061800000
77,FRANKFURTAMMAIN,Germany,8.682126700000000,50.110922100000003,16.666666030900000
78,FRANKFURTANDERODER,Germany,14.538130000000001,52.342491000000003,16.666666030900000
79,GUESTROW,Germany,12.189537700000001,53.803154700000000,30.000000000000000
80,HALBERSTADT,Germany,11.053733800000000,51.894389699999998,44.166667938200000
81,HAMBURG,Germany,9.993681799999999,53.551084600000003,58.000000000000000
82,HANNOVER,Germany,9.732010400000000,52.375891600000003,25.000000000000000
83,HARZ,Germany,10.238361358600001,51.809524536100000,44.166667938200000
84,HOLSTEIN,Germany,7.770009994510000,47.423961639399998,66.000000000000000
85,KIEL,Germany,10.122765200000000,54.323292700000003,25.000000000000000
86,KOELN,Germany,6.960278600000000,50.937531000000000,29.166666030900000
87,KONSTANZ,Germany,9.173238400000001,47.677949599999998,12.500000000000000
88,LANDSHUT,Germany,12.145921800000000,48.539224699999998,50.000000000000000
89,LIMBURG-AM-LAHN,Germany,8.072101593019999,50.388969421399999,36.666667938200000
90,LUEBECK,Germany,10.687095899999999,53.865885599999999,30.000000000000000
91,LUENEBURG,Germany,10.411517900000000,53.246421400000003,36.000000000000000
92,MAGDEBURG,Germany,11.628878000000000,52.130806999999997,50.000000000000000
93,MAINZ,Germany,8.247252600000000,49.992861699999999,16.666666030900000
94,MINDEN,Germany,8.894920600000001,52.296491899999999,8.333333015439999
95,MUENCHEN,Germany,11.581980600000000,48.135125299999999,50.000000000000000
96,MUENSTER,Germany,7.626134700000000,51.960664899999998,50.000000000000000
97,MUHLDORF,Germany,12.521989822400000,48.245773315400001,12.500000000000000
98,NUERNBERG,Germany,11.076750000000001,49.452030000000001,10.000000000000000
99,OSNABRUECK,Germany,8.047178799999999,52.279911200000001,4.166666507720000
100,PADERBORN,Germany,8.757509300000001,51.718920500000003,33.333332061800000
101,PARCHIM,Germany,11.847839355500000,53.425037383999999,40.000000000000000
102,PASSAU,Germany,13.431946600000000,48.566736400000003,16.666666030900000
103,REGENSBURG,Germany,12.100855900000001,49.014542300000002,16.666666030900000
104,ROSTOCK,Germany,12.100428900000001,54.083418600000002,25.000000000000000
105,SCHLESWIG,Germany,9.563227000000000,54.523931200000000,25.000000000000000
106,STRALSUND,Germany,13.087714300000000,54.299404799999998,25.000000000000000
107,TRIER,Germany,6.637143300000000,49.749991999999999,25.000000000000000
108,ULM,Germany,9.987607600000001,48.401082199999998,33.333332061800000
109,WISMAR,Germany,11.451602200000000,53.897941600000003,42.000000000000000
110,WUERZBURG,Germany,9.953571500000001,49.791595299999997,25.000000000000000
111,CORK,Ireland,-8.486315700000001,51.896891699999998,45.000000000000000
112,DROGHEDA,Ireland,-6.356098500000000,53.717855999999998,45.000000000000000
113,DUBLIN,Ireland,-6.260309700000000,53.349805300000000,50.000000000000000
114,KILKENNY,Ireland,-7.244787900000000,52.654145399999997,50.000000000000000
115,LOUTH,Ireland,-6.467097282410000,53.896976470900000,50.000000000000000
116,NEW-ROSS,Ireland,-6.947190000000000,52.396204400000002,45.000000000000000
117,WATERFORD,Ireland,-7.127206000000000,52.252270000000003,45.000000000000000
118,YOUGHAL,Ireland,-7.847170829770000,51.954269409200002,40.000000000000000
119,AQUILA,Italy,13.636271499999999,42.125631700000000,66.599998474100005
120,AREZZO,Italy,11.882307600000001,43.466967799999999,60.000000000000000
121,BOBBIO,Italy,9.385950088500000,44.770088195800000,50.000000000000000
122,BOLOGNA,Italy,11.342616300000000,44.494886999999999,37.500000000000000
123,CATANIA,Italy,15.082851200000000,37.508038599999999,80.000000000000000
124,CREMONA,Italy,10.022651099999999,45.133248999999999,50.000000000000000
125,FIRENZE,Italy,11.248000599999999,43.771033199999998,60.000000000000000
126,GENOVA,Italy,8.946256000000000,44.405649900000000,35.000000000000000
127,LUCCA,Italy,10.495060900000000,43.837621100000000,39.000000000000000
128,MESSINA,Italy,15.554015200000000,38.193813700000000,50.000000000000000
129,MILANO,Italy,9.186515999999999,45.465454200000003,15.000000000000000
130,NAPOLI,Italy,14.268124400000000,40.851774599999999,63.000000000000000
131,ORVIETO,Italy,12.110744600000000,42.718506800000000,50.000000000000000
132,PADOVA,Italy,11.876761100000000,45.406434900000001,67.000000000000000
133,PARMA,Italy,10.327903600000001,44.801485000000000,20.000000000000000
134,PIACENZA,Italy,9.686581300000000,45.047375400000000,33.000000000000000
135,PISA,Italy,10.401688800000001,43.722838600000003,35.000000000000000
136,PISTOIA,Italy,10.907858700000000,43.930347500000003,40.000000000000000
137,PRATO,Italy,11.102228000000000,43.877704899999998,40.000000000000000
138,RIMINI,Italy,12.564600300000000,44.057081699999998,67.000000000000000
139,ROMA,Italy,12.482519900000000,41.892916300000003,50.000000000000000
140,SAN GIORIO,Italy,7.172904968260000,45.127136230500000,46.000000000000000
141,SAN-GIMIGNANO,Italy,11.043490900000000,43.467632399999999,58.000000000000000
142,SIENA,Italy,11.330757400000000,43.318809000000002,51.000000000000000
143,SIRACUSA,Italy,15.286586099999999,37.075473899999999,50.000000000000000
144,TORINO,Italy,7.685676000000000,45.070982000000001,33.000000000000000
145,TRAPANI,Italy,12.537202000000001,38.017617700000002,80.000000000000000
146,TRENTO,Italy,11.121088600000000,46.069692400000001,83.000000000000000
147,VENEZIA,Italy,12.315515100000001,45.440847400000003,60.000000000000000
148,VERONA,Italy,10.991657800000000,45.438356300000002,45.000000000000000
149,OSLO,Norway,10.752245400000000,59.913868800000003,50.000000000000000
150,SANDSVAER,Norway,9.637257575990001,59.651821136499997,99.000000000000000
151,BEIRA,Portugal,-7.370347976680000,39.448699951199998,41.500000000000000
152,BRAGA,Portugal,-8.426507000000001,41.545448600000000,50.000000000000000
153,BRAGANCA,Portugal,-6.756738000000000,41.806113099999997,50.000000000000000
